name,postal_code,stars,review_count,categories
"""The Bluebird Cafe""",EH3 5HA,4.5,16,Breakfast & Brunch;Diners;Restaurants;Cafes;British
"""LaPuma Bakery""",44026,3.5,3,Bakeries;Food
"""Carle Clinic Association""",61801,2.5,6,Doctors;Health & Medical
"""Christopher Huston, MD - TOCA""",85016,2,18,Orthopedists;Health & Medical;Doctors
"""McDonald's""",85016,3,34,Restaurants;Burgers;Fast Food
"""Sports Authority""",85054,2.5,21,Sporting Goods;Shopping
"""Banana Republic""",53719,2,8,Men's Clothing;Women's Clothing;Fashion;Shopping
"""Crazy Mocha Coffee""",15201,3.5,16,Restaurants;Sandwiches;Coffee & Tea;Food
"""Bruegger's Bagels""",15236,2.5,5,Breakfast & Brunch;Bagels;Restaurants;Bakeries;Sandwiches;Food
"""Fairfield Inn & Suites""",28105,4,17,Hotels;Event Planning & Services;Hotels & Travel
"""G G & D Motor Vehicle Services""",85301,2,12,Shopping;Public Services & Government;Departments of Motor Vehicles
"""Emergency Chiropractic""",85282,2.5,3,Health & Medical;Chiropractors
"""Little Caesars Pizza""",85209,2.5,4,Restaurants;Pizza
"""Villa Tap""",53704,4,34,American (Traditional);Nightlife;Dive Bars;Restaurants;Bars
"""Tenors of Rock""",89109,4.5,46,Performing Arts;Arts & Entertainment
"""Starlight Tattoo""",89109,4,24,Beauty & Spas;Piercing;Tattoo
"""Scott's Karat Patch""",28209,4,5,Watch Repair;Jewelry Repair;Shopping;Local Services;Jewelry
"""The Brink Lounge""",53703,3.5,30,Event Planning & Services;Nightlife;Lounges;Venues & Event Spaces;Bars
"""Thai Express""",M3J 1P3,3,5,Imported Food;Specialty Food;Thai;Ethnic Food;Food;Restaurants
"""Havel's Flowers & Greenhouses""",44060,3.5,4,Florists;Wholesale Stores;Shopping;Flowers & Gifts
"""Caviness Studio""",85001,5,4,Marketing;Men's Clothing;Restaurants;Graphic Design;Women's Clothing;Screen Printing;Advertising;Pizza;Shopping;Web Design;Fashion;Local Services;Screen Printing/T-Shirt Printing;Professional Services
"""International Exposition Center""",44135,4,16,Venues & Event Spaces;Event Planning & Services
"""Fraticelli's Authentic Italian Grill""",L4B 3K4,3,88,Restaurants;Italian
"""Cafe Mastrioni""",89103,1.5,3,Italian;Restaurants
"""Poty Group""",85207,5,3,Real Estate Agents;Home Services;Real Estate
"""Dayton Family Medicine""",85207,2.5,3,Optometrists;Doctors;Internal Medicine;Health & Medical
"""Mitchell's Ice Cream - Solon Shop""",44139,4.5,42,Ice Cream & Frozen Yogurt;Food
"""City of Mesa Cemetary""",85201,4.5,3,Religious Organizations
"""Flavor Cuisine""",M1S 2C1,3,6,Restaurants;Chinese;Food Court
